facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,258.0,nan,1.1735,5.415,4.6146,17.0,2016-07-01,2019-06-30
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,268.0,nan,1.1868,13.8076,11.6339,41.0,2016-07-01,2019-06-30
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,620.0,nan,1.0204,15.9416,15.6225,100.0,2016-07-01,2019-06-30
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,1107.0,nan,1.0702,23.4423,21.9048,264.0,2016-07-01,2019-06-30
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,444.0,nan,1.056,19.6598,18.6179,92.0,2016-07-01,2019-06-30
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,594.0,nan,0.9232,15.7486,17.0594,88.0,2016-07-01,2019-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,591.0,nan,0.9562,17.0502,17.8307,97.0,2016-07-01,2019-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-AMI-HRRP,,nan,0.9156,15.5809,17.0164,,2016-07-01,2019-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,304.0,nan,1.0267,21.1525,20.6023,66.0,2016-07-01,2019-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,625.0,nan,0.9796,15.104,15.4186,93.0,2016-07-01,2019-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9705,4.3234,4.4548,,2016-07-01,2019-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-CABG-HRRP,130.0,nan,1.045,12.2931,11.7632,17.0,2016-07-01,2019-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,443.0,nan,0.9166,13.0581,14.2461,53.0,2016-07-01,2019-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HIP-KNEE-HRRP,392.0,nan,1.1624,4.6458,3.9969,21.0,2016-07-01,2019-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,764.0,nan,1.0523,16.5547,15.7317,130.0,2016-07-01,2019-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,565.0,nan,0.9531,17.0053,17.8425,92.0,2016-07-01,2019-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,771.0,nan,0.863,18.0749,20.945,130.0,2016-07-01,2019-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2016-07-01,2019-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,200.0,nan,1.0448,15.0216,14.3773,33.0,2016-07-01,2019-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,83.0,nan,1.124,21.141,18.808,25.0,2016-07-01,2019-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-COPD-HRRP,136.0,nan,0.9899,18.2871,18.473,24.0,2016-07-01,2019-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HF-HRRP,,1.0,,,,,2016-07-01,2019-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-PN-HRRP,,nan,0.9655,13.6691,14.1577,,2016-07-01,2019-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-COPD-HRRP,,nan,0.9889,16.4755,16.6601,,2016-07-01,2019-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,158.0,nan,1.0611,14.98,14.1174,27.0,2016-07-01,2019-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9656,4.8706,5.0442,,2016-07-01,2019-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,391.0,nan,0.9799,15.959,16.2858,61.0,2016-07-01,2019-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,260.0,nan,0.9297,17.79,19.135,40.0,2016-07-01,2019-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,434.0,nan,0.9291,19.9873,21.5125,82.0,2016-07-01,2019-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,82.0,nan,1.2155,17.3204,14.2492,19.0,2016-07-01,2019-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,380.0,nan,0.9623,14.3659,14.9291,52.0,2016-07-01,2019-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-COPD-HRRP,176.0,nan,1.0069,16.1528,16.042,29.0,2016-07-01,2019-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2016-07-01,2019-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-AMI-HRRP,84.0,nan,1.0634,14.9279,14.0384,16.0,2016-07-01,2019-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,176.0,nan,1.0652,20.9891,19.7053,41.0,2016-07-01,2019-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-CABG-HRRP,,nan,0.876,10.1742,11.614,,2016-07-01,2019-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9995,4.2221,4.2241,,2016-07-01,2019-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-COPD-HRRP,217.0,nan,1.0063,19.1044,18.9847,42.0,2016-07-01,2019-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-AMI-HRRP,179.0,nan,0.9052,14.3356,15.8363,20.0,2016-07-01,2019-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-PN-HRRP,359.0,nan,1.0528,16.8358,15.9911,64.0,2016-07-01,2019-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,329.0,nan,0.9727,22.1377,22.7584,71.0,2016-07-01,2019-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-COPD-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HF-HRRP,,5.0,,,,,2016-07-01,2019-06-30
